ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO,dc_reimerdes,dc_JSCwhipple,dc_JSCwhipple_mod
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.1,3.823038714677749,4.973573626174224,3.104843598575865,3.823038714677749,3.823038714677749
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.2,2.4676552660239857,3.133155052409439,2.004082152448831,2.4676552660239857,2.4676552660239857
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.30000000000000004,1.9101565243062903,2.391044808414011,1.5513149877348869,1.9101565243062903,1.9101565243062903
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.4,1.592796454965847,1.9737640015575637,1.2935741032515014,1.592796454965847,1.592796454965847
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.5,1.3834197020639747,1.7009382539567044,1.1235308158419006,1.3834197020639747,1.3834197020639747
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.6,1.232947965720983,1.5062638426813333,1.0013266630151316,1.232947965720983,1.232947965720983
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.7000000000000001,1.118568449686735,1.359157725617574,0.9084344548343223,1.118568449686735,1.118568449686735
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.8,1.0281016890335402,1.243393406543556,0.8349627576685134,1.0281016890335402,1.0281016890335402
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,0.9,0.9543973314582153,1.1494944491736223,0.7751044826460005,0.9543973314582153,0.9543973314582153
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.0,0.8929553603035526,1.0715239553657416,0.7252049851360683,0.8929553603035526,0.8929553603035526
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.1,0.8407889591645625,1.0055571566901917,0.6828385513316471,0.8407889591645625,0.8407889591645625
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.2000000000000002,0.7958304289893651,0.9488867610448758,0.6463259196180529,0.7958304289893651,0.7958304289893651
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.3000000000000003,0.7565985874191089,0.8995797068581972,0.6144641621914032,0.7565985874191089,0.7565985874191089
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.4000000000000001,0.722001928643933,0.8562157143164109,0.586366823255804,0.722001928643933,0.722001928643933
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.5000000000000002,0.6912166909547269,0.81772582196283,0.5613648927749549,0.6912166909547269,0.6912166909547269
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.6,0.6636083849246655,0.7832887631023598,0.538943076350272,0.6636083849246655,0.6636083849246655
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.7000000000000002,0.6386796247397641,0.7522622532214768,0.5186974269449016,0.6386796247397641,0.6386796247397641
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.8000000000000003,0.6160344627979061,0.7241361266255796,0.5003063795762331,0.6160344627979061,0.6160344627979061
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,1.9000000000000001,0.5953534062898211,0.6984995823222779,0.4835104612758543,0.5953534062898211,0.5953534062898211
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.0,0.5763755383165522,0.6750177934159562,0.46809777092950783,0.5763755383165522,0.5763755383165522
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.1,0.5588854786767157,0.6534148819173137,0.45389338960766357,0.5588854786767157,0.5588854786767157
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.2,0.5427037122934669,0.633461314293205,0.4407515258918222,0.5427037122934669,0.5427037122934669
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.3000000000000003,0.5276793059308291,0.6149644264059777,0.42854960082673155,0.5276793059308291,0.5276793059308291
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.4000000000000004,0.513684347850835,0.5977612021035027,0.41718373214217397,0.513684347850835,0.513684347850835
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.5000000000000004,0.5006096497822408,0.5817127002096446,0.40656524364878477,0.5006096497822408,0.5006096497822408
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.6,0.488361386805482,0.566699704364451,0.39661793635339726,0.488361386805482,0.488361386805482
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.7,0.4768584431191385,0.552619291797136,0.3872759328491682,0.4768584431191385,0.4768584431191385
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.8000000000000003,0.46603029534003915,0.5393821008590106,0.3784819582584077,0.46603029534003915,0.46603029534003915
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,2.9000000000000004,0.45581530959095473,0.526910135706291,0.3701859572289591,0.45581530959095473,0.45581530959095473
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.0000000000000004,0.4461593603144772,0.5151349880667785,0.36234397221736564,0.4461593603144772,0.4461593603144772
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.1,0.43701470155815086,0.5039963858873487,0.3549172268140997,0.43701470155815086,0.43701470155815086
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.2,0.42833903809291024,0.49344100038939104,0.34787137136146357,0.42833903809291024,0.42833903809291024
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.3000000000000003,0.4200947559716931,0.4834214590519894,0.34117585805927314,0.4200947559716931,0.4200947559716931
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.4000000000000004,0.41224828125345037,0.47389552393754303,0.33480342015881703,0.41224828125345037,0.41224828125345037
