ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,3.6,0.31849487624361955,0.36079855715430376
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,3.7,0.31303085766155386,0.35426804163241515
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,3.8000000000000003,0.3078026001926763,0.3480252292468063
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,3.9000000000000004,0.30279411880764706,0.3420503621763349
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.0,0.2979908866010992,0.33632550146733114
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.1,0.29337966931253145,0.330834319142187
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.2,0.2889483821360354,0.32556191847173716
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.3,0.2865965653069682,0.3204946780274096
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.3999999999999995,0.2857000218639993,0.31562011589601563
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.5,0.2848034784210304,0.3109267710586733
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.6,0.28390693497806146,0.3064040994369899
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.7,0.2830103915350925,0.302042382518418
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.8,0.2821138480921236,0.2978326468074153
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,4.9,0.2812173046491547,0.2937665926243401
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.0,0.28032076120618576,0.28983653100143497
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.1,0.27942421776321685,0.29060495131982755
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.2,0.27852767432024794,0.29519821407636765
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.3,0.277631130877279,0.2997914768329077
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.4,0.27673458743431006,0.3043847395894478
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.5,0.27583804399134115,0.3089780023459878
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.6,0.27494150054837224,0.31357126510252786
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.7,0.27404495710540333,0.31816452785906796
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.8,0.2731484136624344,0.322757790615608
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,5.9,0.27225187021946545,0.3273510533721481
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.0,0.27135532677649654,0.33194431612868813
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.1,0.27045878333352763,0.3365375788852282
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.2,0.2695622398905587,0.3411308416417682
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.3,0.2686656964475898,0.34572410439830825
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.4,0.2677691530046209,0.35031736715484835
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.5,0.266872609561652,0.3549106299113884
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.6,0.2659760661186831,0.3595038926679284
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.7,0.2650795226757141,0.3640971554244685
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.8,0.2641829792327452,0.36869041818100856
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,6.9,0.2632864357897763,0.3732836809375486
