source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-65222,D-994,Pyrex,2.23,0.318,0,3.63,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1154,Cd,8.64,0.318,0,3.69,Cd,8.64,0.033,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-997,Al2017,2.796,0.318,0,3.76,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1153,Cd,8.64,0.256,0,3.84,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,0.16,NP,0
CR-65222,D-1156,Cd,8.64,0.318,0,3.87,Cd,8.64,0.033,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-993,Al2017,2.796,0.318,0,3.87,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-950,Al2017,2.796,0.318,0,3.99,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1051,Cu,8.79,0.208,0,4.17,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1456,Cd,8.64,0.256,0,4.27,Cd,8.64,0.0635,15.2,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-1231,Al,2.796,0.159,0,4.36,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-976,Al2017,2.796,0.318,0,4.57,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1393,Inlyte,0.79,0.49,0,4.68,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1233,Al,2.796,0.159,0,4.69,Al1100-O,2.71,0.0152,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,D-1391,Inlyte,0.79,0.49,0,4.69,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-913,Al2017,2.796,0.318,0,4.72,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-915,Al2017,2.796,0.318,0,4.72,Al1100-O,2.71,0.16,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-912,Al2017,2.796,0.318,0,4.76,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-914,Al2017,2.796,0.318,0,4.82,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1461,Al2024-T3,2.78,0.523,0,4.91,Al1100-O,2.71,0.159,10.2,AA2024-T3,2.796,47,2.54,NP,0
CR-65222,D-1224,Pyrex,2.23,0.318,0,4.92,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1155,Cd,8.64,0.318,0,5.12,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1223,Cd,8.64,0.318,0,5.12,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1389,Al,2.796,0.318,0,5.18,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1453,Cd,8.64,0.318,0,5.18,Cd,8.64,0.033,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-921,Al2017,2.796,0.318,0,5.18,Al1100-O,2.71,0.16,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1398,Al,2.796,0.318,0,5.21,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-999,Cd,8.64,0.318,0,5.34,Cd,8.64,0.033,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-911,Al2017,2.796,0.318,0,5.43,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1044,Cd,8.64,0.318,0,5.48,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1019,Cd,8.64,0.318,0,5.61,Cd,8.64,0.033,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1121,Al,2.796,0.318,0,5.61,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1123,Al,2.796,0.318,0,5.61,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1122,Al,2.796,0.318,0,5.64,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1325,Cd,8.64,0.318,0,5.7,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1327,Cd,8.64,0.318,0,5.76,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1225,Al,2.796,0.318,0,5.88,Al1100-O,2.71,0.102,2.54,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1115,Nylon,1.145,0.419,0,6.1,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1226,Al,2.796,0.318,0,6.1,Cd,8.64,0.033,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-919,Al2017,2.796,0.318,0,6.28,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1349,Nylon,1.145,0.419,0,6.31,Al1100-O,2.71,0.102,5.18,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1045,Cd,8.64,0.318,0,6.4,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1454,Cd,8.64,0.318,0,6.4,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-996,Al2017,2.796,0.318,0,6.46,Al1100-O,2.71,0.102,1.27,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1047,Cd,8.64,0.318,0,6.49,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1235,Al,2.796,0.159,0,6.5,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,D-1455,Cd,8.64,0.318,0,6.53,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1457,Cd,8.64,0.318,0,6.53,Cd,8.64,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-995,Pyrex,2.23,0.318,0,6.58,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1236,Al,2.796,0.318,0,6.61,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
