source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,B480,0.358,Al 2017-T4,2.796,0.0674,26,6.95,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,B460,0.358,Al 2017-T4,2.796,0.06727,65,6.77,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,B319,0.517,Al 2017-T4,2.796,0.20221,53.1,7.57,Alclad 7075-T6,0.151,2.78,10.16,Alclad 7075-T6,0.302,2.78,65,E2,NP,0,0
TP-2003-210788,B324,0.596,Al 2017-T4,2.796,0.31027,23,7.07,Alclad 7075-T6,0.151,2.78,10.16,Alclad 7075-T6,0.302,2.78,65,E3,NP,0,0
TP-2003-210788,B327,0.675,Al 2017-T4,2.796,0.45024,58.4,6.95,Alclad 7075-T6,0.171,2.78,20.22,Alclad 7075-T6,0.386,2.78,65,D3,P,1,0
TP-2003-210788,B333,0.596,Al 2017-T4,2.796,0.31019,58.4,7.6,Alclad 7075-T6,0.171,2.78,20.22,Al 2024-T3,0.406,2.796,47,E2,NP,0,0
TP-2003-210788,B334,0.635,Al 2017-T4,2.796,0.37624,58.4,7.28,Alclad 7075-T6,0.171,2.78,20.22,Al 2024-T3,0.406,2.796,47,E2,NP,0,0
TP-2003-210788,B341,0.674,Al 2017-T4,2.796,0.4492,58.4,7.57,Al 2024-T3,0.18,2.796,20.22,Al 2024-T3,0.406,2.796,47,E2,NP,0,0
TP-2003-210788,B343,0.596,Al 2017-T4,2.796,0.31019,23,7.46,Al 2024-T3,0.159,2.796,10.16,Al 2024-T3,0.318,2.796,47,E3,SP,0,1
TP-2003-210788,B344,0.596,Al 2017-T4,2.796,0.31029,23,7.2,Al 6061-T6,0.159,2.713,10.16,Al 2219-T87,0.318,2.852,52,E3,SP,0,1
TP-2003-210788,B348,0.674,Al 2017-T4,2.796,0.44844,58.4,7.13,Al 6061-T6,0.18,2.713,20.22,Al 6061-T6,0.406,2.713,36,E2,SP,0,1
TP-2003-210788,B386,0.476,Al 2017-T4,2.796,0.15846,50,6.64,Alclad 7075-T6,0.16,2.78,10.16,Alclad 7075-T6,0.302,2.78,65,D3,P,1,0
TP-2003-210788,A1916,0.318,Al 2017-T4,2.796,0.04723,20,3.16,Alclad 7075-T6,0.151,2.78,23.57,Alclad 7075-T6,0.302,2.78,65,D2,NP,0,0
TP-2003-210788,A1965,0.289,Al 2017-T4,2.796,0.03534,15,6.29,Al 6061-T6,0.112,2.713,10.16,Al 6061-CMG,0.191,2.713,29,E2,NP,0,0
TP-2003-210788,A1967,0.318,Al 2017-T4,2.796,0.04724,15,6.22,Al 6061-T6,0.112,2.713,10.16,Al 6061-CMG,0.191,2.713,29,E2,NP,0,0
TP-2003-210788,A1969,0.358,Al 2017-T4,2.796,0.06747,30,6.29,Al 6061-T6,0.112,2.713,10.16,Al 6061-CMG,0.191,2.713,29,E2,NP,0,0
TP-2003-210788,A1971,0.318,Al 2017-T4,2.796,0.04715,45,6.17,Al 6061-T6,0.112,2.713,10.16,Al 6061-CMG,0.191,2.713,29,E3,P,1,0
TP-2003-210788,B752,0.794,Al 2017-T4,2.796,0.73318,25,7.19,Alclad 7075-T6,0.159,2.796,11.18,Al 2219-T851,0.508,2.852,52,D2,P,1,0
TP-2003-210788,HD9820217,0.318,Al 2017-T4,2.796,0.04688,0,6.5,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.18,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820004,0.314,Al 2017-T4,2.796,0.04521,0,6.4,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.203,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820032,0.318,Al 2017-T4,2.796,0.04695,0,6.4,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.229,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820065,0.318,Al 2017-T4,2.796,0.04705,0,6.4,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820114,0.318,Al 2017-T4,2.796,0.0473,0,6.5,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820151,0.313,Al 2017-T4,2.796,0.04509,0,6.6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.406,2.713,36,E2,NP,0,0
TP-2003-210788,HD9820014,0.318,Al 2017-T4,2.796,0.04686,0,6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.203,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820058,0.314,Al 2017-T4,2.796,0.04544,0,5.9,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.229,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820115,0.318,Al 2017-T4,2.796,0.0473,0,5.7,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,E4,P,1,0
TP-2003-210788,HD9820152,0.314,Al 2017-T4,2.796,0.04554,0,5.9,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,E3,SP,0,1
TP-2003-210788,HD9820159,0.313,Al 2017-T4,2.796,0.04501,0,6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.406,2.713,36,E2,NP,0,0
TP-2003-210788,HD9820003,0.3136,Al 2017-T4,2.796,0.04517,0,5.8,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920057,0.314,Al 2017-T4,2.796,0.04546,0,5.5,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,E2,NP,0,0
TP-2003-210788,HD9820220,0.318,Al 2017-T4,2.796,0.04709,0,6.6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.18,2.713,36,E4,P,1,0
TP-2003-210788,HD9920009,0.317,Al 2017-T4,2.796,0.04672,0,6.7,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.18,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920005,0.319,Al 2017-T4,2.796,0.04732,0,6.9,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920034,0.318,Al 2017-T4,2.796,0.04699,0,6.9,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920066,0.318,Al 2017-T4,2.796,0.04728,0,6.7,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.406,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920116,0.318,Al 2017-T4,2.796,0.0473,0,6.9,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.457,2.713,36,E3,NP,0,0
TP-2003-210788,HD9820221,0.317,Al 2017-T4,2.796,0.04682,0,4.4,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.203,2.713,36,E4,P,1,0
TP-2003-210788,HD9920030,0.318,Al 2017-T4,2.796,0.04709,0,4.5,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.229,2.713,36,E4,P,1,0
TP-2003-210788,HD9920060,0.318,Al 2017-T4,2.796,0.04688,0,4.7,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,E2,NP,0,0
TP-2003-210788,HD9820222,0.317,Al 2017-T4,2.796,0.04682,0,3,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,E4,P,1,0
TP-2003-210788,HD9920040,0.316,Al 2017-T4,2.796,0.04602,0,3.1,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.406,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920117,0.319,Al 2017-T4,2.796,0.0474,0,3,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.457,2.713,36,E2,NP,0,0
TP-2003-210788,HD9820223,0.318,Al 2017-T4,2.796,0.0469,0,2.5,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.254,2.713,36,D4,P,1,0
TP-2003-210788,HD9920028,0.317,Al 2017-T4,2.796,0.04683,0,2.6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.318,2.713,36,D4,P,1,0
TP-2003-210788,HD9920104,0.313,Al 2017-T4,2.796,0.04507,0,2.7,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.406,2.713,36,E3,SP,0,1
TP-2003-210788,HD9920118,0.315,Al 2017-T4,2.796,0.04586,0,2.6,Al 6061-T6,0.07874,2.713,5.08,Al 6061-T6,0.457,2.713,36,D2,NP,0,0
