source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,A1560,0.357,Al 2017-T4,2.796,0.06682,0,6.08,Al 6061-T6,0.127,2.713,3.81,Al 6061-T6,0.229,2.713,36,E3,SP,0,1
TP-2003-210788,A1603,0.318,Al 2017-T4,2.796,0.04693,0,6.35,Al 6061-T6,0.081,2.713,10.16,Al 2024-T3,0.16,2.796,47,E2,NP,0,0
TP-2003-210788,A1607,0.318,Al 2017-T4,2.796,0.04693,0,6.24,Al 6061-T6,0.051,2.713,10.16,Al 2024-T3,0.16,2.796,47,C4,P,1,0
TP-2003-210788,A1672,0.318,Al 2017-T4,2.796,0.04693,0,6.05,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.16,2.796,47,E4,P,1,0
TP-2003-210788,A1674,0.318,Al 2017-T4,2.796,0.04693,0,6.3,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.16,2.796,47,E2,SP,0,1
TP-2003-210788,A1676,0.318,Al 2017-T4,2.796,0.04693,0,6.07,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.16,2.796,47,E4,P,1,0
TP-2003-210788,A1682,0.318,Al 2017-T4,2.796,0.04693,0,6.28,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.16,2.796,47,E4,P,1,0
TP-2003-210788,B109,0.634,Al 2017-T4,2.796,0.37365,0,6.22,Al 6061-T6,0.127,2.713,10.16,Al 6061-T6,0.318,2.713,36,E5,P,1,0
TP-2003-210788,B110,0.634,Al 2017-T4,2.796,0.37383,0,6.27,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,E5,P,1,0
TP-2003-210788,B111,0.635,Al 2017-T4,2.796,0.37539,0,5.85,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,E5,P,1,0
TP-2003-210788,B121,0.634,Al 2017-T4,2.796,0.37403,0,7.44,Al 6061-T6,0.127,2.713,10.16,Al 2024-T3,0.406,2.796,47,E3,SP,0,1
TP-2003-210788,B123,0.634,Al 2017-T4,2.796,0.37431,0,7.38,Al 6061-T6,0.127,2.713,10.16,Al 6061-T6,0.483,2.713,36,E3,SP,0,1
