source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,MLI_type,MLI_AD,MLI_standoff,bumper_mat,bumper_thick,bumper_density,stuffing_string,stuffing_AD,standoff,wall_mat,wall_thick,wall_density,wall_yield,result,perforated_class
-,-,,g/cm3,cm,deg,km/s,-,g/cm2,cm,-,cm,g/cm3,-,g/cm2,cm,-,cm,g/cm3,ksi,,
Jia_ECSD_2009,ZH-18,AA2017-T4,2.78,0.4,0,1.04,,,,AA2017-T4,0.1,2.8,100mm AlSi12 open cell foam,0.27,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH-01,AA2017-T4,2.78,0.4,0,4.08,,,,AA2017-T4,0.1,2.8,100mm AlSi12 open cell foam,0.27,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH-03,AA2017-T4,2.78,0.4,0,4.02,,,,AA2017-T4,0.1,2.8,100mm AlSi12 open cell foam,0.27,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH-04,AA2017-T4,2.78,0.4,0,4.04,,,,AA2017-T4,0.1,2.8,100mm AlSi12 open cell foam,0.27,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH2-11,AA2017-T4,2.78,0.4,0,2.03,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-12,AA2017-T4,2.78,0.4,0,2.03,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-10,AA2017-T4,2.78,0.4,0,2.16,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-38,AA2017-T4,2.78,0.4,0,4.09,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH2-36,AA2017-T4,2.78,0.4,0,4.06,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH2-09,AA2017-T4,2.78,0.4,0,2.03,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-08,AA2017-T4,2.78,0.4,0,2.01,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-06,AA2017-T4,2.78,0.4,0,2.06,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,P,1
Jia_ECSD_2009,ZH2-40,AA2017-T4,2.78,0.4,0,4.08,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH2-39,AA2017-T4,2.78,0.4,0,3.98,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,NP,0
Jia_ECSD_2009,ZH2-38A,AA2017-T4,2.78,0.4,0,4.01,,,,AA2017-T4,0.05,2.8,100mm AlSi12 open cell foam,0.41,10,AA5456-H112,0.2,2.66,24,NP,0
Bohannon_2009,3,AA2017-T4,2.78,0.3175,0,6.98,,,,AA6061-T6,0.1,2.7,12x Kevlar 706 KM2,0.4,5.2,AA6061-T6,0.2,2.7,40,NP,0
Bohannon_2009,4,AA2017-T4,2.78,0.3175,0,2.7,,,,AA6061-T6,0.1,2.7,12x Kevlar 706 KM2,0.4,5.2,AA6061-T6,0.2,2.7,40,NP,0
Bohannon_2009,5,AA2017-T4,2.78,0.3175,0,7.03,,,,AA6061-T6,0.1,2.7,12x Kevlar 706 KM2 with shear-thickening fluid,0.4,5.2,AA6061-T6,0.2,2.7,40,NP,0
Bohannon_2009,6,AA2017-T4,2.78,0.3175,0,2.92,,,,AA6061-T6,0.1,2.7,12x Kevlar 706 KM2 with shear-thickening fluid,0.4,5.2,AA6061-T6,0.2,2.7,40,NP,0
Palmieri_IJIE_2003,4063,AA2017-T4,2.78,0.6,0,6.41,standard,0.3124,0,AA5083-H11,0.12,2.65,1x Nextel 312 AF62 and 1x Kevlar 129 style 812,0.131,13.18,AA2219-T851,0.3,2.84,51,NP,0
Palmieri_IJIE_2003,4070,AA2017-T4,2.78,0.65,0,6.41,standard,0.3124,0,AA5083-H11,0.12,2.65,1x Nextel 312 AF62 and 1x Kevlar 129 style 812,0.131,13.18,AA2219-T851,0.3,2.84,51,NP,0
Palmieri_IJIE_2003,4072,AA2017-T4,2.78,0.7,0,6.26,standard,0.3124,0,AA5083-H11,0.12,2.65,1x Nextel 312 AF62 and 1x Kevlar 129 style 812,0.131,13.18,AA2219-T851,0.3,2.84,51,NP,0
Palmieri_IJIE_2003,4073,AA2017-T4,2.78,0.75,0,6.41,standard,0.3124,0,AA5083-H11,0.12,2.65,1x Nextel 312 AF62 and 1x Kevlar 129 style 812,0.131,13.18,AA2219-T851,0.3,2.84,51,NP,0
Destefanis_IJIE_2006,8885,AA2017-T4,2.78,1.45,0,6.6,,,,AA6061-T6,0.25,2.7,4x Nextel 312 AF62 and 6 mm Kevlar/Epoxy,0.1215,13,AA2219-T851,0.48,2.84,51,NP,0
Destefanis_IJIE_2006,8892,AA2017-T4,2.78,1.75,45,6.21,,,,AA6061-T6,0.25,2.7,4x Nextel 312 AF62 and 6 mm Kevlar/Epoxy,0.1215,13,AA2219-T851,0.48,2.84,51,NP,0
Putzar_IJIE_2019,EMI-5807,AA99.9%,2.7,0.41,0,3.93,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,EMI-5808,AA99.9%,2.7,0.5,0,3.7,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,EMI-5810,AA99.9%,2.7,0.66,0,6.35,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,EMI-5811,AA99.9%,2.7,0.6,0,6,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,EMI-5816,AA99.9%,2.7,0.64,45,6.25,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,EMI-5817,AA99.9%,2.7,0.6,45,6.38,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,8,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,CAST SW2-1,Aluminium,2.79,0.425,0,3.03,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,CAST SW2-2,Aluminium,2.79,0.375,0,3.156,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-3,Aluminium,2.79,0.4,0,3.165,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-4,Aluminium,2.79,0.3,30,3.132,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-5,Aluminium,2.79,0.325,30,3.124,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-6,Aluminium,2.79,0.35,30,2.89,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,CAST SW2-7,Aluminium,2.79,0.6,0,6.715,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-8,Aluminium,2.79,0.65,0,6.512,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-9,Aluminium,2.79,0.7,0,6.364,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,CAST SW2-10,Aluminium,2.79,0.675,0,6.571,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,P,1
Putzar_IJIE_2019,CAST SW2-11,Aluminium,2.79,0.6,30,6.64,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-12,Aluminium,2.79,0.65,30,6.645,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,NP,0
Putzar_IJIE_2019,CAST SW2-13,Aluminium,2.79,0.675,30,6.503,standard,0.041,6,AA3A21,0.074,2.67,1x betacloth and 3x basalt fabric and 3x aramid III,0.1723,7.75,AA5A06,0.0243,2.67,47,P,1
