source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
AFML-TR-67-324,2028,AA2017-T4,2.8,0.318,0,6.91,AA6061-T6,2.7,0.084,1.27,AA6061-T6,2.7,40,0.721,NP,0
AFML-TR-67-324,2078,AA2017-T4,2.8,0.318,0,6.91,AA6061-T6,2.7,0.16,1.27,AA6061-T6,2.7,40,0.257,P,1
CR-4343,216C,AA1100-O,2.71,0.795,45,6.91,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.478,P,1
CR-4343,EH1AB,AA1100-O,2.71,0.795,65,6.91,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
AFML-TR-67-324,2079,AA2017-T4,2.8,0.318,0,6.9,AA6061-T6,2.7,0.257,1.27,AA6061-T6,2.7,40,0.363,NP,0
ESA-HIT,EMI-3462,AA99.9%,2.7,0.25,0,6.9,AA5154-O,2.66,0.1,7.5,AA2017-T4,2.8,40,0.1,NP,0
ESA-HIT,EMI-4058,AA7075-O,2.8,0.45,45,6.9,AA5083-O,2.66,0.118,12.76,AA2219-T851,2.84,51,0.3,NP,0
ESA-HIT,EMI-3439,AA2017-T4,2.8,0.42,45,6.9,AA2219-T851,2.84,0.09,5,AA5154-O,2.66,17,0.6,NP,0
ESA-HIT,EMI-3440,AA2017-T4,2.8,0.42,49,6.9,AA2219-T851,2.84,0.09,4.8,AA5154-O,2.66,17,0.6,NP,0
ESA-HIT,EMI-3557,AA2017-T4,2.8,0.14,0,6.9,AA5154-O,2.66,0.1,2.5,AA5154-O,2.66,17,0.1,NP,0
ESA-HIT,EMI-3572,AA2017-T4,2.8,0.1008,0,6.9,AA5154-O,2.66,0.1,1,AA5154-O,2.66,17,0.1,NP,0
Ryan_2011,HD9920116,AA2017-T4,2.8,0.3175,0,6.9,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4572,NP,0
CR-4343,P-05,AA1100-O,2.71,0.635,0,6.9,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
ESA-HIT,EMI-3414,AA99.9%,2.7,0.3,0,6.9,AA2219-T851,2.84,0.1,7.5,AA2219-T851,2.84,51,0.1,P,1
ESA-HIT,EMI-3447,AA99.9%,2.7,0.3,0,6.9,AA2219-T851,2.84,0.1,13,AA2219-T851,2.84,51,0.1,P,1
ESA-HIT,EMI-3448,AA99.9%,2.7,0.2,0,6.9,AA2219-T851,2.84,0.15,7.5,AA2219-T851,2.84,51,0.05,P,1
Ryan_2011,HD9920005,AA2017-T4,2.8,0.3175,0,6.9,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.254,P,1
Ryan_2011,HD9920034,AA2017-T4,2.8,0.3175,0,6.9,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.3175,P,1
